Watching PID 92703 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.001  ;   16156.00;   14487.00;    6188.00
1.001  ;   16156.00;   14487.00;    6576.00
1.001  ;   16156.00;   14487.00;    7260.00
1.001  ;   16156.00;   14487.00;    7508.00
1.001  ;   16156.00;   14487.00;    6624.00
1.001  ;   16156.00;   14487.00;    6764.00
1.001  ;   16156.00;   14487.00;    6612.00
1.001  ;   16156.00;   14487.00;    7412.00
1.001  ;   16156.00;   14487.00;    6624.00
1.001  ;   16156.00;   14487.00;    6908.00
1.001  ;   16156.00;   14487.00;    6620.00
1.001  ;   16156.00;   14487.00;    7472.00
1.001  ;   16156.00;   14487.00;    8036.00
1.001  ;   16156.00;   14487.00;    7560.00
1.001  ;   16156.00;   14487.00;    7184.00
1.001  ;   16156.00;   14487.00;    7256.00
1.001  ;   16156.00;   14487.00;    7076.00
1.001  ;   16156.00;   14487.00;    7552.00
1.001  ;   16156.00;   14487.00;    7644.00
1.001  ;   16156.00;   14487.00;    7604.00
1.001  ;   16156.00;   14487.00;    7784.00
1.001  ;   16156.00;   14487.00;    7892.00
1.001  ;   16156.00;   14487.00;    7692.00
1.001  ;   16156.00;   14487.00;    7876.00
1.001  ;   16156.00;   14487.00;    7812.00
1.001  ;   16156.00;   14487.00;    7920.00
1.001  ;   16156.00;   14487.00;    8040.00
1.001  ;   16156.00;   14487.00;    8196.00
1.001  ;   16156.00;   14487.00;    8488.00
1.001  ;   16156.00;   14487.00;    8224.00
1.001  ;   16156.00;   14487.00;    8556.00
1.001  ;   16156.00;   14487.00;    8392.00
1.001  ;   16156.00;   14487.00;    8580.00
1.001  ;   16156.00;   14487.00;    8532.00
1.001  ;   16156.00;   14487.00;    8552.00
1.001  ;   16156.00;   14487.00;    8952.00
1.001  ;   16156.00;   14487.00;    8824.00
1.001  ;   16156.00;   14487.00;    9160.00
1.001  ;   16156.00;   14487.00;    9928.00
1.001  ;   16156.00;   14487.00;    6360.00
1.001  ;   16156.00;   14487.00;    7212.00
1.001  ;   16156.00;   14487.00;    6404.00
1.001  ;   16156.00;   14487.00;    6488.00
1.001  ;   16156.00;   14487.00;    6300.00
1.001  ;   16156.00;   14487.00;    6688.00
1.001  ;   16156.00;   14487.00;    7348.00
1.001  ;   16156.00;   14487.00;    7408.00
1.001  ;   16156.00;   14487.00;    7020.00
1.001  ;   16156.00;   14487.00;    6876.00
1.001  ;   16156.00;   14487.00;    7012.00
1.001  ;   16156.00;   14487.00;    7824.00
1.001  ;   16156.00;   14487.00;    6964.00
1.001  ;   16156.00;   14487.00;    6800.00
1.001  ;   16156.00;   14487.00;    7136.00
1.001  ;   16156.00;   14487.00;    7176.00
1.001  ;   16156.00;   14487.00;    7392.00
1.001  ;   16156.00;   14487.00;    7268.00
1.001  ;   16156.00;   14487.00;    8288.00
1.001  ;   16156.00;   14487.00;    7544.00
1.001  ;   16156.00;   14487.00;    8576.00
1.001  ;   16156.00;   14487.00;    7812.00
1.001  ;   16156.00;   14487.00;    7560.00
1.001  ;   16156.00;   14487.00;    7584.00
1.001  ;   16156.00;   14487.00;    7884.00
1.001  ;   16156.00;   14487.00;    8072.00
1.001  ;   16156.00;   14487.00;    8032.00
1.001  ;   16156.00;   14487.00;    6396.00
1.001  ;   16156.00;   14487.00;    6480.00
1.001  ;   16156.00;   14487.00;    6368.00
