Watching PID 10778 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.003  ;  165972.00;  164188.00;  133668.00
1.003  ;  165976.00;  164192.00;  127088.00
1.003  ;  165976.00;  164192.00;  131200.00
1.003  ;  165980.00;  164196.00;  127924.00
1.003  ;  165980.00;  164196.00;  131056.00
1.003  ;  165980.00;  164196.00;  131260.00
1.003  ;  166080.00;  164296.00;  128176.00
1.003  ;  166080.00;  164296.00;  131224.00
1.003  ;  166080.00;  164296.00;  131704.00
1.003  ;  166180.00;  164396.00;  129124.00
1.003  ;  166180.00;  164396.00;  129524.00
1.003  ;  166180.00;  164396.00;  127920.00
1.003  ;  166180.00;  164396.00;  128340.00
1.003  ;  166180.00;  164396.00;  133920.00
1.003  ;  166184.00;  164400.00;  129888.00
1.003  ;  166184.00;  164400.00;  129468.00
1.003  ;  166184.00;  164400.00;  132992.00
1.003  ;  166184.00;  164400.00;  123092.00
