Watching PID 17135 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.009  ;  607496.00;  605597.00;   84300.00
1.010  ;  607496.00;  605597.00;   82860.00
1.010  ;  607496.00;  605597.00;   80052.00
1.009  ;  607496.00;  605597.00;   81108.00
1.010  ;  607496.00;  605597.00;   91352.00
1.009  ;  607496.00;  605597.00;   98516.00
1.010  ;  607496.00;  605597.00;   62200.00
1.009  ;  607496.00;  605597.00;   79232.00
1.010  ;  607496.00;  605597.00;   79124.00
1.009  ;  607496.00;  605597.00;   45420.00
1.009  ;  607496.00;  605597.00;   58080.00
1.009  ;  607496.00;  605597.00;   67528.00
1.010  ;  607496.00;  605597.00;   50484.00
1.010  ;  607496.00;  605597.00;   64596.00
1.009  ;  607496.00;  605597.00;   67880.00
1.010  ;  607496.00;  605597.00;   50612.00
1.010  ;  607496.00;  605597.00;   43612.00
1.010  ;  607500.00;  605601.00;   88584.00
1.010  ;  607604.00;  605705.00;   83448.00
1.010  ;  607648.00;  605749.00;   83520.00
1.009  ;  607648.00;  605749.00;   87204.00
1.010  ;  607676.00;  605777.00;   83772.00
1.010  ;  607676.00;  605777.00;   49060.00
1.009  ;  607676.00;  605777.00;   92372.00
1.009  ;  607728.00;  605829.00;   61032.00
1.010  ;  607816.00;  605917.00;   59568.00
1.009  ;  607868.00;  605969.00;   39420.00
1.009  ;  607908.00;  606009.00;   44132.00
1.009  ;  607952.00;  606053.00;   60400.00
1.009  ;  608044.00;  606145.00;   57272.00
1.010  ;  608044.00;  606145.00;   61952.00
1.010  ;  608100.00;  606201.00;   80300.00
1.009  ;  608232.00;  606333.00;   56648.00
1.009  ;  608276.00;  606377.00;   82608.00
1.009  ;  608520.00;  606621.00;   74168.00
1.010  ;  608784.00;  606885.00;   89224.00
1.009  ;  608920.00;  607021.00;   58404.00
1.009  ;  609300.00;  607401.00;   79988.00
1.009  ;  609712.00;  607813.00;   80824.00
1.010  ;  610376.00;  608477.00;   55144.00
1.010  ;  610572.00;  608673.00;   46400.00
1.010  ;  610832.00;  608933.00;   87548.00
1.010  ;  611160.00;  609261.00;   83756.00
1.010  ;  611488.00;  609589.00;   84032.00
1.010  ;  611880.00;  609981.00;   56508.00
1.010  ;  612364.00;  610465.00;   64364.00
1.010  ;  612500.00;  610601.00;   43600.00
1.010  ;  612500.00;  610601.00;   38340.00
1.010  ;  613012.00;  611113.00;   87036.00
1.009  ;  613212.00;  611313.00;   87568.00
1.010  ;  613548.00;  611649.00;   95132.00
1.010  ;  613612.00;  611713.00;   55632.00
1.009  ;  613940.00;  612041.00;   67288.00
1.010  ;  614204.00;  612305.00;   82284.00
1.010  ;  614532.00;  612633.00;   48272.00
1.010  ;  614904.00;  613005.00;   61204.00
