Watching PID 13704 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.004  ;  225876.00;  224160.00;  215768.00
1.005  ;  225876.00;  224160.00;  215860.00
1.004  ;  225876.00;  224160.00;  215632.00
1.004  ;  225876.00;  224160.00;  215508.00
1.005  ;  225876.00;  224160.00;  215700.00
1.004  ;  225876.00;  224160.00;  215400.00
1.004  ;  225876.00;  224160.00;  215508.00
1.004  ;  225876.00;  224160.00;  215200.00
1.004  ;  225876.00;  224160.00;  215100.00
1.004  ;  225876.00;  224160.00;  214968.00
1.004  ;  225876.00;  224160.00;  214960.00
1.004  ;  225876.00;  224160.00;  214924.00
1.004  ;  225876.00;  224160.00;  215140.00
1.004  ;  225876.00;  224160.00;  215140.00
1.004  ;  225876.00;  224160.00;  215040.00
1.004  ;  225876.00;  224160.00;  215056.00
1.004  ;  225876.00;  224160.00;  215120.00
1.004  ;  225876.00;  224160.00;  215188.00
1.004  ;  225876.00;  224160.00;  215104.00
1.004  ;  225876.00;  224160.00;  215068.00
1.004  ;  225876.00;  224160.00;  215096.00
1.004  ;  225876.00;  224160.00;  214876.00
1.004  ;  225876.00;  224160.00;  214916.00
1.004  ;  225876.00;  224160.00;  214868.00
1.004  ;  225876.00;  224160.00;  214752.00
1.004  ;  225876.00;  224160.00;  214868.00
1.004  ;  225876.00;  224160.00;  214460.00
1.004  ;  225876.00;  224160.00;  214300.00
1.004  ;  225876.00;  224160.00;  214832.00
1.004  ;  225876.00;  224160.00;  214476.00
1.004  ;  225876.00;  224160.00;  214536.00
1.004  ;  225876.00;  224160.00;  214616.00
1.004  ;  225876.00;  224160.00;  214784.00
1.004  ;  225876.00;  224160.00;  214628.00
1.004  ;  225876.00;  224160.00;  214616.00
1.004  ;  225876.00;  224160.00;  214668.00
1.004  ;  225876.00;  224160.00;  214500.00
1.004  ;  225876.00;  224160.00;  214688.00
1.004  ;  225876.00;  224160.00;  214608.00
1.004  ;  225876.00;  224160.00;  214728.00
1.004  ;  225876.00;  224160.00;  214748.00
1.004  ;  225876.00;  224160.00;  214724.00
1.004  ;  225876.00;  224160.00;  214696.00
1.004  ;  225876.00;  224160.00;  214616.00
1.004  ;  225876.00;  224160.00;  214664.00
1.004  ;  225876.00;  224160.00;  214600.00
1.004  ;  225876.00;  224160.00;  214668.00
1.004  ;  225876.00;  224160.00;  214684.00
1.004  ;  225876.00;  224160.00;  214492.00
1.004  ;  225876.00;  224160.00;  214628.00
1.004  ;  225876.00;  224160.00;  214388.00
1.004  ;  225876.00;  224160.00;  214384.00
1.004  ;  225876.00;  224160.00;  214148.00
1.004  ;  225876.00;  224160.00;  214080.00
1.004  ;  225876.00;  224160.00;  214040.00
1.004  ;  225876.00;  224160.00;  213972.00
1.004  ;  225876.00;  224160.00;  213600.00
1.004  ;  225876.00;  224160.00;  213752.00
1.004  ;  225876.00;  224160.00;  213744.00
1.007  ;  225876.00;  224160.00;  213552.00
1.005  ;  225876.00;  224160.00;  213912.00
1.004  ;  225876.00;  224160.00;  213700.00
1.004  ;  225876.00;  224160.00;  213508.00
1.004  ;  225876.00;  224160.00;  212748.00
1.004  ;  225876.00;  224160.00;  211960.00
1.004  ;  225876.00;  224160.00;  210440.00
1.004  ;  225876.00;  224160.00;  208564.00
1.004  ;  225876.00;  224160.00;  208688.00
1.005  ;  225876.00;  224160.00;  207928.00
1.004  ;  225876.00;  224160.00;  208152.00
1.004  ;  225876.00;  224160.00;  207432.00
1.004  ;  225876.00;  224160.00;  207508.00
1.004  ;  225876.00;  224160.00;  207344.00
1.006  ;  225876.00;  224160.00;  207312.00
1.005  ;  225876.00;  224160.00;  207088.00
1.004  ;  225876.00;  224160.00;  207236.00
1.004  ;  225876.00;  224160.00;  207276.00
1.004  ;  225876.00;  224160.00;  206476.00
1.004  ;  225876.00;  224160.00;  206484.00
1.004  ;  225876.00;  224160.00;  206168.00
1.004  ;  225876.00;  224160.00;  206672.00
1.004  ;  225876.00;  224160.00;  206516.00
1.004  ;  225876.00;  224160.00;  206372.00
1.004  ;  225876.00;  224160.00;  206840.00
1.004  ;  225876.00;  224160.00;  206300.00
1.004  ;  225876.00;  224160.00;  206452.00
1.004  ;  225876.00;  224160.00;  206384.00
1.004  ;  225876.00;  224160.00;  206600.00
1.004  ;  225876.00;  224160.00;  206640.00
1.004  ;  225876.00;  224160.00;  206488.00
1.004  ;  225876.00;  224160.00;  206280.00
1.004  ;  225876.00;  224160.00;  206836.00
1.004  ;  225876.00;  224160.00;  202668.00
1.004  ;  225876.00;  224160.00;  206492.00
1.004  ;  225876.00;  224160.00;  206316.00
1.004  ;  225876.00;  224160.00;  206772.00
1.004  ;  225876.00;  224160.00;  206364.00
1.004  ;  225876.00;  224160.00;  206416.00
1.004  ;  225876.00;  224160.00;  206208.00
1.004  ;  225876.00;  224160.00;  206576.00
1.004  ;  225876.00;  224160.00;  206744.00
1.004  ;  225876.00;  224160.00;  207024.00
1.004  ;  225876.00;  224160.00;  206708.00
1.004  ;  225876.00;  224160.00;  206528.00
1.004  ;  225876.00;  224160.00;  206636.00
1.004  ;  225876.00;  224160.00;  206656.00
1.004  ;  225876.00;  224160.00;  206680.00
1.004  ;  225876.00;  224160.00;  206776.00
1.004  ;  225876.00;  224160.00;  206476.00
1.004  ;  225876.00;  224160.00;  206516.00
1.004  ;  225876.00;  224160.00;  206196.00
1.004  ;  225876.00;  224160.00;  206488.00
1.004  ;  225876.00;  224160.00;  206732.00
1.004  ;  225876.00;  224160.00;  206672.00
1.004  ;  225876.00;  224160.00;  206536.00
1.004  ;  225876.00;  224160.00;  206544.00
1.004  ;  225876.00;  224160.00;  206584.00
1.004  ;  225876.00;  224160.00;  206892.00
1.004  ;  225876.00;  224160.00;  206532.00
1.004  ;  225876.00;  224160.00;  206656.00
1.004  ;  225876.00;  224160.00;  206604.00
1.004  ;  225876.00;  224160.00;  206912.00
1.004  ;  225876.00;  224160.00;  206828.00
1.005  ;  225876.00;  224160.00;  206600.00
1.005  ;  225876.00;  224160.00;  206468.00
1.004  ;  225876.00;  224160.00;  206908.00
1.005  ;  225876.00;  224160.00;  206792.00
1.004  ;  225876.00;  224160.00;  206760.00
1.004  ;  225876.00;  224160.00;  206964.00
1.004  ;  225876.00;  224160.00;  206620.00
1.004  ;  225876.00;  224160.00;  206852.00
1.005  ;  225876.00;  224160.00;  206632.00
1.004  ;  225876.00;  224160.00;  206936.00
1.004  ;  225876.00;  224160.00;  207076.00
1.004  ;  225876.00;  224160.00;  207160.00
1.004  ;  225876.00;  224160.00;  207088.00
1.004  ;  225876.00;  224160.00;  207000.00
1.004  ;  225876.00;  224160.00;  207512.00
1.004  ;  225876.00;  224160.00;  206832.00
1.004  ;  225876.00;  224160.00;  206872.00
1.004  ;  225876.00;  224160.00;  207056.00
1.004  ;  225876.00;  224160.00;  207300.00
1.004  ;  225876.00;  224160.00;  207248.00
1.004  ;  225876.00;  224160.00;  206848.00
1.004  ;  225876.00;  224160.00;  206944.00
1.004  ;  225876.00;  224160.00;  207184.00
1.004  ;  225876.00;  224160.00;  206592.00
1.004  ;  225876.00;  224160.00;  206688.00
1.004  ;  225876.00;  224160.00;  206824.00
1.004  ;  225876.00;  224160.00;  206564.00
1.004  ;  225876.00;  224160.00;  207656.00
1.004  ;  225876.00;  224160.00;  207536.00
1.004  ;  225876.00;  224160.00;  207396.00
1.004  ;  225876.00;  224160.00;  206668.00
1.004  ;  225876.00;  224160.00;  207396.00
1.004  ;  225876.00;  224160.00;  207268.00
1.004  ;  225876.00;  224160.00;  207548.00
1.004  ;  225876.00;  224160.00;  207144.00
1.004  ;  225876.00;  224160.00;  207504.00
1.004  ;  225876.00;  224160.00;  207488.00
1.004  ;  225876.00;  224160.00;  207604.00
