Watching PID 18662 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.001  ;   13356.00;   11719.00;    5000.00
1.001  ;   13356.00;   11719.00;    5692.00
1.001  ;   13356.00;   11719.00;    4892.00
1.001  ;   13356.00;   11719.00;    5948.00
1.001  ;   13356.00;   11719.00;    6256.00
1.001  ;   13356.00;   11719.00;    6016.00
1.001  ;   13356.00;   11719.00;    5720.00
1.001  ;   13356.00;   11719.00;    5500.00
1.001  ;   13356.00;   11719.00;    5752.00
1.001  ;   13356.00;   11719.00;    5844.00
1.001  ;   13356.00;   11719.00;    5640.00
1.001  ;   13356.00;   11719.00;    5636.00
1.001  ;   13356.00;   11719.00;    5720.00
1.001  ;   13356.00;   11719.00;    6420.00
1.001  ;   13356.00;   11719.00;    6596.00
1.001  ;   13356.00;   11719.00;    5712.00
1.001  ;   13356.00;   11719.00;    5792.00
1.001  ;   13356.00;   11719.00;    5636.00
1.001  ;   13356.00;   11719.00;    5844.00
1.001  ;   13356.00;   11719.00;    6676.00
1.001  ;   13356.00;   11719.00;    6188.00
1.001  ;   13356.00;   11719.00;    6432.00
1.001  ;   13356.00;   11719.00;    6236.00
1.001  ;   13356.00;   11719.00;    6064.00
1.001  ;   13356.00;   11719.00;    6240.00
1.001  ;   13356.00;   11719.00;    6312.00
1.001  ;   13356.00;   11719.00;    6900.00
1.001  ;   13356.00;   11719.00;    6152.00
1.001  ;   13356.00;   11719.00;    7316.00
1.001  ;   13356.00;   11719.00;    6452.00
1.001  ;   13356.00;   11719.00;    6432.00
1.001  ;   13356.00;   11719.00;    6920.00
1.001  ;   13356.00;   11719.00;    6776.00
1.001  ;   13356.00;   11719.00;    6984.00
1.001  ;   13356.00;   11719.00;    6828.00
1.001  ;   13356.00;   11719.00;    6900.00
1.001  ;   13356.00;   11719.00;    6988.00
1.001  ;   13356.00;   11719.00;    7280.00
1.001  ;   13356.00;   11719.00;    7488.00
1.001  ;   13356.00;   11719.00;    7920.00
1.001  ;   13356.00;   11719.00;    5192.00
1.001  ;   13356.00;   11719.00;    5072.00
1.001  ;   13356.00;   11719.00;    4828.00
1.001  ;   13356.00;   11719.00;    5188.00
1.001  ;   13356.00;   11719.00;    6120.00
1.001  ;   13356.00;   11719.00;    5196.00
1.001  ;   13356.00;   11719.00;    6124.00
1.001  ;   13356.00;   11719.00;    5872.00
1.001  ;   13356.00;   11719.00;    5484.00
1.001  ;   13356.00;   11719.00;    6092.00
1.001  ;   13356.00;   11719.00;    5788.00
1.001  ;   13356.00;   11719.00;    5780.00
1.001  ;   13356.00;   11719.00;    6036.00
1.001  ;   13356.00;   11719.00;    5572.00
1.001  ;   13356.00;   11719.00;    5808.00
1.001  ;   13356.00;   11719.00;    6256.00
1.001  ;   13356.00;   11719.00;    6532.00
1.001  ;   13356.00;   11719.00;    6548.00
1.001  ;   13356.00;   11719.00;    6424.00
1.001  ;   13356.00;   11719.00;    6220.00
1.001  ;   13356.00;   11719.00;    6368.00
1.001  ;   13356.00;   11719.00;    6208.00
1.001  ;   13356.00;   11719.00;    5928.00
1.001  ;   13356.00;   11719.00;    6516.00
1.001  ;   13356.00;   11719.00;    6652.00
1.001  ;   13356.00;   11719.00;    7576.00
1.001  ;   13356.00;   11719.00;    5408.00
1.001  ;   13356.00;   11719.00;    5592.00
1.001  ;   13356.00;   11719.00;    5824.00
1.001  ;   13356.00;   11719.00;    6020.00
1.001  ;   13356.00;   11719.00;    6568.00
1.001  ;   13356.00;   11719.00;    5452.00
1.001  ;   13356.00;   11719.00;    5984.00
1.001  ;   13356.00;   11719.00;    6216.00
1.001  ;   13356.00;   11719.00;    6464.00
1.001  ;   13356.00;   11719.00;    5948.00
1.001  ;   13356.00;   11719.00;    6060.00
1.001  ;   13356.00;   11719.00;    5808.00
1.001  ;   13356.00;   11719.00;    5896.00
1.001  ;   13356.00;   11719.00;    6452.00
1.001  ;   13356.00;   11719.00;    5996.00
1.001  ;   13356.00;   11719.00;    6192.00
1.001  ;   13356.00;   11719.00;    6188.00
1.001  ;   13356.00;   11719.00;    5976.00
1.001  ;   13356.00;   11719.00;    6648.00
1.001  ;   13356.00;   11719.00;    6572.00
1.001  ;   13356.00;   11719.00;    6444.00
1.001  ;   13356.00;   11719.00;    6784.00
1.001  ;   13356.00;   11719.00;    7180.00
1.001  ;   13356.00;   11719.00;    6876.00
1.001  ;   13356.00;   11719.00;    6092.00
1.001  ;   13356.00;   11719.00;    6188.00
1.001  ;   13356.00;   11719.00;    6376.00
1.001  ;   13356.00;   11719.00;    6760.00
1.001  ;   13356.00;   11719.00;    6092.00
1.001  ;   13356.00;   11719.00;    6036.00
1.001  ;   13356.00;   11719.00;    6248.00
1.001  ;   13356.00;   11719.00;    6896.00
1.001  ;   13356.00;   11719.00;    6428.00
1.001  ;   13356.00;   11719.00;    7040.00
1.001  ;   13356.00;   11719.00;    7280.00
1.001  ;   13356.00;   11719.00;    6720.00
1.001  ;   13356.00;   11719.00;    6252.00
1.001  ;   13356.00;   11719.00;    6144.00
1.001  ;   13356.00;   11719.00;    7220.00
1.001  ;   13356.00;   11719.00;    7028.00
1.001  ;   13356.00;   11719.00;    7128.00
1.001  ;   13356.00;   11719.00;    6292.00
1.001  ;   13356.00;   11719.00;    7416.00
1.001  ;   13356.00;   11719.00;    7464.00
1.001  ;   13356.00;   11719.00;    6548.00
1.001  ;   13356.00;   11719.00;    6460.00
1.001  ;   13356.00;   11719.00;    6824.00
1.001  ;   13356.00;   11719.00;    7228.00
1.001  ;   13356.00;   11719.00;    6864.00
1.001  ;   13356.00;   11719.00;    6524.00
1.001  ;   13356.00;   11719.00;    7328.00
1.001  ;   13356.00;   11719.00;    7028.00
1.001  ;   13356.00;   11719.00;    7140.00
1.001  ;   13356.00;   11719.00;    6768.00
1.001  ;   13356.00;   11719.00;    7052.00
1.001  ;   13356.00;   11719.00;    7080.00
1.001  ;   13356.00;   11719.00;    6308.00
1.001  ;   13356.00;   11719.00;    7492.00
1.001  ;   13356.00;   11719.00;    6940.00
1.001  ;   13356.00;   11719.00;    7228.00
1.001  ;   13356.00;   11719.00;    7540.00
1.001  ;   13356.00;   11719.00;    7240.00
1.001  ;   13356.00;   11719.00;    6776.00
1.001  ;   13356.00;   11719.00;    7136.00
1.001  ;   13356.00;   11719.00;    7500.00
1.001  ;   14068.00;   12431.00;    8272.00
1.001  ;   14076.00;   12439.00;    7824.00
1.001  ;   14080.00;   12443.00;    7560.00
1.001  ;   14104.00;   12467.00;    7412.00
1.001  ;   14108.00;   12471.00;    7448.00
1.001  ;   14112.00;   12475.00;    7144.00
1.001  ;   14124.00;   12487.00;    7796.00
1.001  ;   14136.00;   12499.00;    7784.00
1.001  ;   11620.00;    9983.00;    6656.00
1.001  ;   13072.00;   11435.00;    8008.00
1.001  ;   13080.00;   11443.00;    8096.00
1.001  ;   13100.00;   11463.00;    7848.00
1.001  ;   13124.00;   11487.00;    7772.00
1.001  ;   13136.00;   11499.00;    7720.00
1.001  ;   13156.00;   11519.00;    7796.00
1.001  ;   13172.00;   11535.00;    7696.00
1.001  ;   13192.00;   11555.00;    8412.00
1.001  ;   13196.00;   11559.00;    7864.00
1.001  ;   13308.00;   11671.00;    8384.00
1.001  ;   13312.00;   11675.00;    7900.00
1.001  ;   13312.00;   11675.00;    7996.00
1.001  ;   13312.00;   11675.00;    7928.00
1.001  ;   14180.00;   12543.00;    8356.00
1.001  ;   14204.00;   12567.00;    8056.00
1.001  ;   14208.00;   12571.00;    8096.00
1.001  ;   14212.00;   12575.00;    8492.00
1.001  ;   14220.00;   12583.00;    8368.00
1.001  ;   14232.00;   12595.00;    8308.00
1.001  ;   14244.00;   12607.00;    8092.00
1.001  ;   14256.00;   12619.00;    8240.00
1.001  ;   14268.00;   12631.00;    8328.00
1.001  ;   14280.00;   12643.00;    8368.00
1.001  ;   15196.00;   13559.00;    8804.00
1.001  ;   15204.00;   13567.00;    8660.00
1.001  ;   15224.00;   13587.00;    8356.00
1.001  ;   15252.00;   13615.00;    8280.00
1.001  ;   15944.00;   14307.00;    9096.00
1.001  ;   15948.00;   14311.00;    8748.00
1.001  ;   15952.00;   14315.00;    8684.00
1.001  ;   15956.00;   14319.00;    8588.00
1.001  ;   15956.00;   14319.00;    8656.00
1.001  ;   15960.00;   14323.00;    8752.00
1.001  ;   15964.00;   14327.00;    8436.00
1.001  ;   15968.00;   14331.00;    8464.00
1.001  ;   15972.00;   14335.00;    8948.00
1.001  ;   15976.00;   14339.00;    8780.00
1.001  ;   15980.00;   14343.00;    8708.00
1.001  ;   15984.00;   14347.00;    8696.00
1.001  ;   15984.00;   14347.00;    8700.00
1.001  ;   15988.00;   14351.00;    8588.00
1.001  ;   15992.00;   14355.00;    8816.00
1.001  ;   15996.00;   14359.00;    8588.00
1.001  ;   16000.00;   14363.00;    8696.00
1.001  ;   16004.00;   14367.00;    8980.00
1.001  ;   16008.00;   14371.00;    9092.00
1.001  ;   16008.00;   14371.00;    9180.00
1.001  ;   16012.00;   14375.00;    9092.00
1.001  ;   16016.00;   14379.00;    8948.00
1.001  ;   16020.00;   14383.00;    9016.00
1.001  ;   16024.00;   14387.00;    9116.00
1.001  ;   16028.00;   14391.00;    9208.00
1.001  ;   16032.00;   14395.00;    9072.00
1.001  ;   16032.00;   14395.00;    9236.00
1.001  ;   16036.00;   14399.00;    9324.00
1.001  ;   16040.00;   14403.00;    9240.00
1.001  ;   16044.00;   14407.00;    9196.00
1.001  ;   16048.00;   14411.00;    9172.00
1.001  ;   16052.00;   14415.00;    9392.00
